"","coordenadas","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","media","predictLMLOG","predictRF","predictRFlog"
"57","-0,36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"58","-0,67",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1
"59","-0,84",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1
"60","-0,89",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"61","-0,91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1
"62","-0,92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1
"63","-0,96",0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,1,0,2,0,1
"64","-0,97",0,0,0,0,0,0,0,1,0,0,0,4,0,1,4,2,3,1,0,1,2,1,2
"65","-0,98",0,0,0,0,0,0,0,0,0,1,1,5,1,0,3,6,2,3,0,1,2,1,2
"66","-0,99",0,0,0,0,0,0,0,4,0,2,3,3,7,1,2,3,1,1,1,1,2,1,2
"67","-1,-102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"68","-1,-103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"69","-1,-105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"70","-1,-12",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,1
"71","-1,-13",0,0,0,0,0,0,0,2,0,2,2,0,0,0,1,0,1,1,2,1,2,1,2
"72","-1,-14",0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,0,2,0,1
"73","-1,-15",0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,0,2,3,1,2,1,2
"74","-1,-16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1
"75","-1,-168",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
"76","-1,-23",0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1
"77","-1,-24",0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,2,0,1
"78","-1,-76",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1
"79","-1,-77",0,0,0,0,0,0,0,4,3,6,3,4,3,1,2,6,5,4,2,2,2,2,3
"80","-1,-78",0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,2,2,0,2,1,2,1,2
"81","-1,-79",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,2,0,1
"82","-1,-80",0,0,0,0,0,0,0,7,0,0,1,2,3,1,2,1,0,4,9,2,2,2,3
"83","-1,-81",0,0,0,0,0,0,0,2,1,0,0,2,1,3,2,1,0,0,0,1,2,1,2
"84","-1,-90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"85","-1,100",0,0,0,0,0,0,0,4,1,8,2,3,1,2,4,8,3,3,2,2,2,2,3
"86","-1,101",0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,1,0,0,2,0,1
"87","-1,105",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
"88","-1,115",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1
"89","-1,116",0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1
"90","-1,118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
"91","-1,119",0,0,0,0,0,0,1,1,0,2,0,2,2,2,3,2,1,1,1,1,2,1,2
"92","-1,120",0,0,0,0,0,0,0,0,1,0,1,1,3,2,4,3,6,1,5,1,2,1,2
"93","-1,121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1
"94","-1,122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"95","-1,123",0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,1,2,0,1,1,2,1,2
"96","-1,124",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
"97","-1,126",0,0,0,0,0,0,0,0,0,3,1,0,0,5,3,6,3,0,4,1,2,1,2
"98","-1,127",0,0,0,0,0,0,0,3,3,11,0,2,3,0,2,4,3,3,3,2,2,2,3
"99","-1,128",0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,1,1,1,2,1,2,1,2
"100","-1,129",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,2,0,1
"101","-1,131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1
"102","-1,132",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1
"103","-1,133",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,1
"104","-1,134",0,0,0,0,0,0,0,1,0,0,2,0,0,0,8,1,1,0,1,1,2,1,2
"105","-1,135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,0,0,2,0,1
"106","-1,136",0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,1,0,0,0,0,2,0,1
"107","-1,137",0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,2,0,1
"108","-1,138",0,0,0,0,0,0,0,1,0,0,1,1,0,3,2,2,1,1,4,1,2,1,2
"109","-1,139",0,0,0,0,0,0,0,0,0,1,1,11,3,0,1,1,0,1,1,1,2,1,2
"110","-1,140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1,2,1,2
"111","-1,141",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"112","-1,145",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,1
"113","-1,146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1
"114","-1,148",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1
"115","-1,149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"116","-1,150",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"117","-1,151",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1
"118","-1,152",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
"119","-1,156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"120","-1,26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1
"121","-1,27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"122","-1,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"123","-1,29",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
"124","-1,31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1
"125","-1,67",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,13,0,0,0,1,2,1,2
"126","-1,68",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,9,0,0,0,1,2,1,2
"127","-1,69",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1
"128","-1,88",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"129","-1,89",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1
"130","-1,97",0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,2,0,1
"131","-1,98",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1
"132","-1,99",0,0,0,0,0,0,0,34,1,28,2,61,6,0,2,3,4,2,2,8,2,7,7
"133","-10,-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
"134","-10,-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"135","-10,-13",0,0,0,0,0,0,0,2,0,1,2,0,0,2,1,1,1,0,0,1,2,1,2
"136","-10,-168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1
"137","-10,-57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"138","-10,-70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1
"139","-10,-71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,1
"140","-10,-72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1
"141","-10,-73",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,2,0,1
"142","-10,-74",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,3,0,2,0,1
"143","-10,-75",0,0,0,0,0,0,0,0,2,1,4,1,0,0,2,3,2,2,4,1,2,1,2
"144","-10,-76",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,2,0,1
"145","-10,-77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
"146","-10,-78",0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,7,1,2,1,2
"147","-10,-80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1
"148","-10,102",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1
