"","coordenadas","RECENCIA","FRECUENCIA","MAGNITUD","Segmento"
"168","-10,123",40,17,4.71176470588235,5
"169","-10,124",137,7,4.64285714285714,5
"170","-10,125",876,1,4.9,6
"171","-10,126",337,1,4.6,3
"172","-10,151",1182,3,5,6
"173","-10,152",291,3,4.83333333333333,5
"174","-10,159",167,2,4.3,5
"175","-10,160",12,16,5,5
"176","-10,161",5,132,5.06212121212121,4
"177","-10,162",97,18,4.92222222222222,5
"178","-10,163",154,20,4.975,5
"179","-10,164",14,69,5.03478260869565,5
"180","-10,165",162,148,5.16824324324324,4
"181","-10,166",117,56,5.05892857142857,5
"182","-10,167",411,4,4.8,3
"183","-10,23",677,1,5,3
"184","-10,29",791,1,5.3,6
"185","-10,33",0,0,0,8
"186","-10,34",0,0,0,8
"187","-10,41",264,1,5.2,5
"188","-10,42",0,0,0,8
"189","-10,43",1755,1,5,7
"190","-10,66",799,5,4.82,6
"191","-10,69",0,0,0,8
"192","-10,87",887,1,5,6
"193","-10,91",932,1,6.5,6
"194","-11,-112",852,1,5.5,6
"195","-11,-12",536,1,4.7,3
"196","-11,-13",41,4,4.8,5
"197","-11,-14",803,1,4.9,6
"198","-11,-70",403,1,4.7,3
"199","-11,-71",0,0,0,8
"200","-11,-72",0,0,0,8
"201","-11,-73",0,0,0,8
"202","-11,-74",29,3,4.4,5
"203","-11,-75",12,3,3.93333333333333,5
"204","-11,-76",17,10,4.35,5
"205","-11,-77",23,9,4.5,5
"206","-11,-78",29,3,4.1,5
"207","-11,-79",0,0,0,8
"208","-11,110",1093,2,4.6,6
"209","-11,111",19,2,4.75,5
"210","-11,112",337,2,4.7,3
"211","-11,113",111,13,4.66153846153846,5
"212","-11,115",0,0,0,8
"213","-11,116",167,14,4.68571428571429,5
"214","-11,117",392,9,4.73333333333333,3
"215","-11,118",291,5,4.82,5
"216","-11,119",215,7,4.74285714285714,5
"217","-11,121",381,2,4.85,3
"218","-11,122",1110,1,4.4,6
"219","-11,124",254,1,4.4,5
