"","coordenadas","RECENCIA","FRECUENCIA","MAGNITUD","Segmento"
"9074","-0,0",0,0,0,8
"9075","-0,1",0,0,0,8
"9076","-0,10",0,0,0,8
"9077","-0,102",0,0,0,8
"9078","-0,103",0,0,0,8
"9079","-0,104",0,0,0,8
"9080","-0,105",0,0,0,8
"9081","-0,106",0,0,0,8
"9082","-0,107",0,0,0,8
"9083","-0,108",0,0,0,8
"9084","-0,109",0,0,0,8
"9085","-0,11",0,0,0,8
"9086","-0,110",0,0,0,8
"9087","-0,111",0,0,0,8
"9088","-0,112",0,0,0,8
"9089","-0,113",0,0,0,8
"9090","-0,114",0,0,0,8
"9091","-0,115",0,0,0,8
"9092","-0,116",0,0,0,8
"9093","-0,117",0,0,0,8
"9094","-0,118",0,0,0,8
"9095","-0,12",0,0,0,8
"9096","-0,13",0,0,0,8
"9097","-0,139",0,0,0,8
"9098","-0,14",0,0,0,8
"9099","-0,140",0,0,0,8
"9100","-0,141",0,0,0,8
"9101","-0,142",0,0,0,8
"9102","-0,143",0,0,0,8
"9103","-0,144",0,0,0,8
"9104","-0,145",0,0,0,8
"9105","-0,15",0,0,0,8
"9106","-0,150",0,0,0,8
"9107","-0,151",0,0,0,8
"9108","-0,152",0,0,0,8
"9109","-0,153",0,0,0,8
"9110","-0,154",0,0,0,8
"9111","-0,155",0,0,0,8
"9112","-0,156",0,0,0,8
"9113","-0,157",0,0,0,8
"9114","-0,158",0,0,0,8
"9115","-0,159",0,0,0,8
"9116","-0,16",0,0,0,8
"9117","-0,160",0,0,0,8
"9118","-0,161",0,0,0,8
"9119","-0,162",0,0,0,8
"9120","-0,163",0,0,0,8
"9121","-0,164",0,0,0,8
"9122","-0,165",0,0,0,8
"9123","-0,166",0,0,0,8
"9124","-0,167",0,0,0,8
"9125","-0,168",0,0,0,8
"9126","-0,169",0,0,0,8
"9127","-0,17",0,0,0,8
"9128","-0,170",0,0,0,8
"9129","-0,171",0,0,0,8
"9130","-0,172",0,0,0,8
"9131","-0,173",0,0,0,8
"9132","-0,174",0,0,0,8
"9133","-0,175",0,0,0,8
"9134","-0,176",0,0,0,8
"9135","-0,177",0,0,0,8
"9136","-0,178",0,0,0,8
"9137","-0,179",0,0,0,8
"9138","-0,18",0,0,0,8
"9139","-0,19",0,0,0,8
"9140","-0,2",0,0,0,8
"9141","-0,20",0,0,0,8
"9142","-0,21",0,0,0,8
"9143","-0,22",0,0,0,8
"9144","-0,23",0,0,0,8
"9145","-0,24",0,0,0,8
"9146","-0,26",0,0,0,8
"9147","-0,27",0,0,0,8
"9148","-0,28",0,0,0,8
"9149","-0,3",0,0,0,8
"9150","-0,31",0,0,0,8
"9151","-0,32",0,0,0,8
"9152","-0,35",0,0,0,8
"9153","-0,37",0,0,0,8
"9154","-0,38",0,0,0,8
"9155","-0,39",0,0,0,8
"9156","-0,4",0,0,0,8
"9157","-0,40",0,0,0,8
"9158","-0,41",0,0,0,8
"9159","-0,42",0,0,0,8
"9160","-0,43",0,0,0,8
"9161","-0,44",0,0,0,8
"9162","-0,45",0,0,0,8
"9163","-0,46",0,0,0,8
"9164","-0,47",0,0,0,8
"9165","-0,48",0,0,0,8
"9166","-0,49",0,0,0,8
"9167","-0,5",0,0,0,8
"9168","-0,50",0,0,0,8
"9169","-0,51",0,0,0,8
"9170","-0,52",0,0,0,8
"9171","-0,53",0,0,0,8
"9172","-0,54",0,0,0,8
"9173","-0,55",0,0,0,8
"9174","-0,56",0,0,0,8
"9175","-0,57",0,0,0,8
"9176","-0,58",0,0,0,8
"9177","-0,59",0,0,0,8
"9178","-0,6",0,0,0,8
"9179","-0,60",0,0,0,8
"9180","-0,61",0,0,0,8
"9181","-0,62",0,0,0,8
"9182","-0,63",0,0,0,8
"9183","-0,64",0,0,0,8
"9184","-0,65",0,0,0,8
"9185","-0,66",0,0,0,8
"9186","-0,68",0,0,0,8
"9187","-0,69",0,0,0,8
"9188","-0,7",0,0,0,8
"9189","-0,70",0,0,0,8
"9190","-0,71",0,0,0,8
"9191","-0,72",0,0,0,8
"9192","-0,73",0,0,0,8
"9193","-0,74",0,0,0,8
"9194","-0,75",0,0,0,8
"9195","-0,76",0,0,0,8
"9196","-0,77",0,0,0,8
"9197","-0,78",0,0,0,8
"9198","-0,79",0,0,0,8
"9199","-0,8",0,0,0,8
"9200","-0,80",0,0,0,8
"9201","-0,81",0,0,0,8
"9202","-0,82",0,0,0,8
"9203","-0,83",0,0,0,8
"9204","-0,85",0,0,0,8
"9205","-0,86",0,0,0,8
"9206","-0,87",0,0,0,8
"9207","-0,88",0,0,0,8
"9208","-0,9",0,0,0,8
"9209","-0,90",0,0,0,8
"9210","-0,93",0,0,0,8
"9211","-0,94",0,0,0,8
"9212","-0,95",0,0,0,8
"9213","-1,-0",0,0,0,8
"9214","-1,-1",0,0,0,8
"9215","-1,-10",0,0,0,8
"9216","-1,-100",0,0,0,8
"9217","-1,-101",0,0,0,8
"9218","-1,-104",0,0,0,8
"9219","-1,-106",0,0,0,8
"9220","-1,-107",0,0,0,8
"9221","-1,-108",0,0,0,8
"9222","-1,-109",0,0,0,8
"9223","-1,-11",0,0,0,8
"9224","-1,-110",0,0,0,8
"9225","-1,-111",0,0,0,8
"9226","-1,-112",0,0,0,8
"9227","-1,-113",0,0,0,8
"9228","-1,-114",0,0,0,8
"9229","-1,-115",0,0,0,8
"9230","-1,-116",0,0,0,8
"9231","-1,-117",0,0,0,8
"9232","-1,-118",0,0,0,8
"9233","-1,-119",0,0,0,8
"9234","-1,-120",0,0,0,8
"9235","-1,-121",0,0,0,8
"9236","-1,-122",0,0,0,8
"9237","-1,-123",0,0,0,8
"9238","-1,-124",0,0,0,8
"9239","-1,-125",0,0,0,8
"9240","-1,-126",0,0,0,8
"9241","-1,-127",0,0,0,8
"9242","-1,-128",0,0,0,8
"9243","-1,-129",0,0,0,8
"9244","-1,-130",0,0,0,8
"9245","-1,-131",0,0,0,8
"9246","-1,-132",0,0,0,8
"9247","-1,-133",0,0,0,8
"9248","-1,-134",0,0,0,8
"9249","-1,-135",0,0,0,8
"9250","-1,-136",0,0,0,8
"9251","-1,-137",0,0,0,8
"9252","-1,-138",0,0,0,8
"9253","-1,-139",0,0,0,8
"9254","-1,-140",0,0,0,8
"9255","-1,-141",0,0,0,8
"9256","-1,-142",0,0,0,8
"9257","-1,-143",0,0,0,8
"9258","-1,-144",0,0,0,8
"9259","-1,-145",0,0,0,8
"9260","-1,-146",0,0,0,8
"9261","-1,-147",0,0,0,8
"9262","-1,-148",0,0,0,8
"9263","-1,-149",0,0,0,8
"9264","-1,-150",0,0,0,8
"9265","-1,-151",0,0,0,8
"9266","-1,-152",0,0,0,8
"9267","-1,-153",0,0,0,8
"9268","-1,-154",0,0,0,8
"9269","-1,-155",0,0,0,8
"9270","-1,-156",0,0,0,8
"9271","-1,-157",0,0,0,8
"9272","-1,-158",0,0,0,8
"9273","-1,-159",0,0,0,8
"9274","-1,-160",0,0,0,8
"9275","-1,-161",0,0,0,8
"9276","-1,-162",0,0,0,8
"9277","-1,-163",0,0,0,8
"9278","-1,-164",0,0,0,8
"9279","-1,-165",0,0,0,8
"9280","-1,-166",0,0,0,8
"9281","-1,-167",0,0,0,8
"9282","-1,-169",0,0,0,8
"9283","-1,-17",0,0,0,8
"9284","-1,-170",0,0,0,8
"9285","-1,-171",0,0,0,8
"9286","-1,-172",0,0,0,8
"9287","-1,-173",0,0,0,8
"9288","-1,-174",0,0,0,8
"9289","-1,-175",0,0,0,8
"9290","-1,-176",0,0,0,8
"9291","-1,-177",0,0,0,8
"9292","-1,-178",0,0,0,8
"9293","-1,-179",0,0,0,8
"9294","-1,-18",0,0,0,8
"9295","-1,-19",0,0,0,8
"9296","-1,-2",0,0,0,8
"9297","-1,-20",0,0,0,8
"9298","-1,-21",0,0,0,8
"9299","-1,-22",0,0,0,8
"9300","-1,-25",0,0,0,8
"9301","-1,-26",0,0,0,8
"9302","-1,-27",0,0,0,8
"9303","-1,-28",0,0,0,8
"9304","-1,-29",0,0,0,8
"9305","-1,-3",0,0,0,8
"9306","-1,-30",0,0,0,8
"9307","-1,-31",0,0,0,8
"9308","-1,-32",0,0,0,8
"9309","-1,-33",0,0,0,8
"9310","-1,-34",0,0,0,8
"9311","-1,-35",0,0,0,8
"9312","-1,-36",0,0,0,8
"9313","-1,-37",0,0,0,8
"9314","-1,-38",0,0,0,8
"9315","-1,-39",0,0,0,8
"9316","-1,-4",0,0,0,8
"9317","-1,-40",0,0,0,8
"9318","-1,-41",0,0,0,8
"9319","-1,-42",0,0,0,8
"9320","-1,-43",0,0,0,8
"9321","-1,-44",0,0,0,8
"9322","-1,-45",0,0,0,8
"9323","-1,-46",0,0,0,8
"9324","-1,-47",0,0,0,8
"9325","-1,-48",0,0,0,8
"9326","-1,-49",0,0,0,8
"9327","-1,-5",0,0,0,8
"9328","-1,-50",0,0,0,8
"9329","-1,-51",0,0,0,8
"9330","-1,-52",0,0,0,8
"9331","-1,-53",0,0,0,8
"9332","-1,-54",0,0,0,8
"9333","-1,-55",0,0,0,8
"9334","-1,-56",0,0,0,8
"9335","-1,-57",0,0,0,8
"9336","-1,-58",0,0,0,8
"9337","-1,-59",0,0,0,8
"9338","-1,-6",0,0,0,8
"9339","-1,-60",0,0,0,8
"9340","-1,-61",0,0,0,8
"9341","-1,-62",0,0,0,8
"9342","-1,-63",0,0,0,8
"9343","-1,-64",0,0,0,8
"9344","-1,-65",0,0,0,8
"9345","-1,-66",0,0,0,8
"9346","-1,-67",0,0,0,8
"9347","-1,-68",0,0,0,8
"9348","-1,-69",0,0,0,8
"9349","-1,-7",0,0,0,8
"9350","-1,-70",0,0,0,8
"9351","-1,-71",0,0,0,8
"9352","-1,-72",0,0,0,8
"9353","-1,-73",0,0,0,8
"9354","-1,-74",0,0,0,8
"9355","-1,-75",0,0,0,8
"9356","-1,-8",0,0,0,8
"9357","-1,-82",0,0,0,8
"9358","-1,-83",0,0,0,8
"9359","-1,-84",0,0,0,8
"9360","-1,-85",0,0,0,8
"9361","-1,-86",0,0,0,8
"9362","-1,-87",0,0,0,8
"9363","-1,-88",0,0,0,8
"9364","-1,-89",0,0,0,8
"9365","-1,-9",0,0,0,8
"9366","-1,-91",0,0,0,8
"9367","-1,-92",0,0,0,8
"9368","-1,-93",0,0,0,8
"9369","-1,-94",0,0,0,8
"9370","-1,-95",0,0,0,8
"9371","-1,-96",0,0,0,8
"9372","-1,-97",0,0,0,8
"9373","-1,-98",0,0,0,8
"9374","-1,-99",0,0,0,8
"9375","-1,0",0,0,0,8
"9376","-1,1",0,0,0,8
"9377","-1,10",0,0,0,8
"9378","-1,102",0,0,0,8
"9379","-1,103",0,0,0,8
"9380","-1,104",0,0,0,8
"9381","-1,106",0,0,0,8
"9382","-1,107",0,0,0,8
"9383","-1,108",0,0,0,8
"9384","-1,109",0,0,0,8
"9385","-1,11",0,0,0,8
"9386","-1,110",0,0,0,8
"9387","-1,111",0,0,0,8
"9388","-1,112",0,0,0,8
"9389","-1,113",0,0,0,8
"9390","-1,114",0,0,0,8
"9391","-1,117",0,0,0,8
"9392","-1,12",0,0,0,8
"9393","-1,125",0,0,0,8
"9394","-1,13",0,0,0,8
"9395","-1,130",0,0,0,8
"9396","-1,14",0,0,0,8
"9397","-1,142",0,0,0,8
"9398","-1,143",0,0,0,8
"9399","-1,144",0,0,0,8
"9400","-1,147",0,0,0,8
"9401","-1,15",0,0,0,8
"9402","-1,153",0,0,0,8
"9403","-1,154",0,0,0,8
"9404","-1,155",0,0,0,8
"9405","-1,157",0,0,0,8
"9406","-1,158",0,0,0,8
"9407","-1,159",0,0,0,8
"9408","-1,16",0,0,0,8
"9409","-1,160",0,0,0,8
"9410","-1,161",0,0,0,8
"9411","-1,162",0,0,0,8
"9412","-1,163",0,0,0,8
"9413","-1,164",0,0,0,8
"9414","-1,165",0,0,0,8
"9415","-1,166",0,0,0,8
"9416","-1,167",0,0,0,8
"9417","-1,168",0,0,0,8
"9418","-1,169",0,0,0,8
"9419","-1,17",0,0,0,8
"9420","-1,170",0,0,0,8
"9421","-1,171",0,0,0,8
"9422","-1,172",0,0,0,8
"9423","-1,173",0,0,0,8
"9424","-1,174",0,0,0,8
"9425","-1,175",0,0,0,8
"9426","-1,176",0,0,0,8
"9427","-1,177",0,0,0,8
"9428","-1,178",0,0,0,8
"9429","-1,179",0,0,0,8
"9430","-1,18",0,0,0,8
"9431","-1,19",0,0,0,8
"9432","-1,2",0,0,0,8
"9433","-1,20",0,0,0,8
"9434","-1,21",0,0,0,8
"9435","-1,22",0,0,0,8
"9436","-1,23",0,0,0,8
"9437","-1,24",0,0,0,8
"9438","-1,25",0,0,0,8
"9439","-1,3",0,0,0,8
"9440","-1,30",0,0,0,8
"9441","-1,32",0,0,0,8
"9442","-1,33",0,0,0,8
"9443","-1,34",0,0,0,8
"9444","-1,35",0,0,0,8
"9445","-1,36",0,0,0,8
"9446","-1,37",0,0,0,8
"9447","-1,38",0,0,0,8
"9448","-1,39",0,0,0,8
"9449","-1,4",0,0,0,8
"9450","-1,40",0,0,0,8
"9451","-1,41",0,0,0,8
"9452","-1,42",0,0,0,8
"9453","-1,43",0,0,0,8
"9454","-1,44",0,0,0,8
"9455","-1,45",0,0,0,8
"9456","-1,46",0,0,0,8
"9457","-1,47",0,0,0,8
"9458","-1,48",0,0,0,8
"9459","-1,49",0,0,0,8
"9460","-1,5",0,0,0,8
"9461","-1,50",0,0,0,8
"9462","-1,51",0,0,0,8
"9463","-1,52",0,0,0,8
"9464","-1,53",0,0,0,8
"9465","-1,54",0,0,0,8
"9466","-1,55",0,0,0,8
"9467","-1,56",0,0,0,8
"9468","-1,57",0,0,0,8
"9469","-1,58",0,0,0,8
"9470","-1,59",0,0,0,8
"9471","-1,6",0,0,0,8
"9472","-1,60",0,0,0,8
"9473","-1,61",0,0,0,8
"9474","-1,62",0,0,0,8
"9475","-1,63",0,0,0,8
"9476","-1,64",0,0,0,8
"9477","-1,65",0,0,0,8
"9478","-1,66",0,0,0,8
"9479","-1,7",0,0,0,8
"9480","-1,70",0,0,0,8
"9481","-1,71",0,0,0,8
"9482","-1,72",0,0,0,8
"9483","-1,73",0,0,0,8
"9484","-1,74",0,0,0,8
"9485","-1,75",0,0,0,8
"9486","-1,76",0,0,0,8
"9487","-1,77",0,0,0,8
"9488","-1,78",0,0,0,8
"9489","-1,79",0,0,0,8
"9490","-1,8",0,0,0,8
"9491","-1,80",0,0,0,8
"9492","-1,81",0,0,0,8
"9493","-1,82",0,0,0,8
"9494","-1,83",0,0,0,8
"9495","-1,84",0,0,0,8
"9496","-1,85",0,0,0,8
"9497","-1,86",0,0,0,8
"9498","-1,87",0,0,0,8
"9499","-1,9",0,0,0,8
"9500","-1,90",0,0,0,8
"9501","-1,91",0,0,0,8
"9502","-1,92",0,0,0,8
"9503","-1,93",0,0,0,8
"9504","-1,94",0,0,0,8
"9505","-1,95",0,0,0,8
"9506","-1,96",0,0,0,8
"9507","-10,-0",0,0,0,8
"9508","-10,-1",0,0,0,8
"9509","-10,-10",0,0,0,8
"9510","-10,-100",0,0,0,8
"9511","-10,-101",0,0,0,8
"9512","-10,-102",0,0,0,8
"9513","-10,-103",0,0,0,8
"9514","-10,-104",0,0,0,8
"9515","-10,-105",0,0,0,8
"9516","-10,-106",0,0,0,8
"9517","-10,-107",0,0,0,8
"9518","-10,-108",0,0,0,8
"9519","-10,-109",0,0,0,8
"9520","-10,-110",0,0,0,8
"9521","-10,-111",0,0,0,8
"9522","-10,-112",0,0,0,8
"9523","-10,-113",0,0,0,8
"9524","-10,-114",0,0,0,8
"9525","-10,-115",0,0,0,8
"9526","-10,-116",0,0,0,8
"9527","-10,-117",0,0,0,8
"9528","-10,-118",0,0,0,8
"9529","-10,-119",0,0,0,8
"9530","-10,-120",0,0,0,8
"9531","-10,-121",0,0,0,8
"9532","-10,-122",0,0,0,8
"9533","-10,-123",0,0,0,8
"9534","-10,-124",0,0,0,8
"9535","-10,-125",0,0,0,8
"9536","-10,-126",0,0,0,8
"9537","-10,-127",0,0,0,8
"9538","-10,-128",0,0,0,8
"9539","-10,-129",0,0,0,8
"9540","-10,-130",0,0,0,8
"9541","-10,-131",0,0,0,8
"9542","-10,-132",0,0,0,8
"9543","-10,-133",0,0,0,8
"9544","-10,-134",0,0,0,8
"9545","-10,-135",0,0,0,8
"9546","-10,-136",0,0,0,8
"9547","-10,-137",0,0,0,8
"9548","-10,-138",0,0,0,8
"9549","-10,-139",0,0,0,8
"9550","-10,-14",0,0,0,8
"9551","-10,-140",0,0,0,8
"9552","-10,-141",0,0,0,8
"9553","-10,-142",0,0,0,8
"9554","-10,-143",0,0,0,8
"9555","-10,-144",0,0,0,8
"9556","-10,-145",0,0,0,8
"9557","-10,-146",0,0,0,8
"9558","-10,-147",0,0,0,8
"9559","-10,-148",0,0,0,8
"9560","-10,-149",0,0,0,8
"9561","-10,-15",0,0,0,8
"9562","-10,-150",0,0,0,8
"9563","-10,-151",0,0,0,8
"9564","-10,-152",0,0,0,8
"9565","-10,-153",0,0,0,8
"9566","-10,-154",0,0,0,8
"9567","-10,-155",0,0,0,8
"9568","-10,-156",0,0,0,8
"9569","-10,-157",0,0,0,8
"9570","-10,-158",0,0,0,8
"9571","-10,-159",0,0,0,8
"9572","-10,-16",0,0,0,8
"9573","-10,-160",0,0,0,8
"9574","-10,-161",0,0,0,8
"9575","-10,-162",0,0,0,8
"9576","-10,-163",0,0,0,8
"9577","-10,-164",0,0,0,8
"9578","-10,-165",0,0,0,8
"9579","-10,-166",0,0,0,8
"9580","-10,-167",0,0,0,8
"9581","-10,-169",0,0,0,8
"9582","-10,-17",0,0,0,8
"9583","-10,-170",0,0,0,8
"9584","-10,-171",0,0,0,8
"9585","-10,-172",0,0,0,8
"9586","-10,-173",0,0,0,8
"9587","-10,-174",0,0,0,8
"9588","-10,-175",0,0,0,8
"9589","-10,-176",0,0,0,8
"9590","-10,-177",0,0,0,8
"9591","-10,-178",0,0,0,8
"9592","-10,-179",0,0,0,8
"9593","-10,-18",0,0,0,8
"9594","-10,-19",0,0,0,8
"9595","-10,-2",0,0,0,8
"9596","-10,-20",0,0,0,8
"9597","-10,-21",0,0,0,8
"9598","-10,-22",0,0,0,8
"9599","-10,-23",0,0,0,8
"9600","-10,-24",0,0,0,8
"9601","-10,-25",0,0,0,8
"9602","-10,-26",0,0,0,8
"9603","-10,-27",0,0,0,8
"9604","-10,-28",0,0,0,8
"9605","-10,-29",0,0,0,8
"9606","-10,-3",0,0,0,8
"9607","-10,-30",0,0,0,8
"9608","-10,-31",0,0,0,8
"9609","-10,-32",0,0,0,8
"9610","-10,-33",0,0,0,8
"9611","-10,-34",0,0,0,8
"9612","-10,-35",0,0,0,8
"9613","-10,-36",0,0,0,8
"9614","-10,-37",0,0,0,8
"9615","-10,-38",0,0,0,8
"9616","-10,-39",0,0,0,8
"9617","-10,-4",0,0,0,8
"9618","-10,-40",0,0,0,8
"9619","-10,-41",0,0,0,8
"9620","-10,-42",0,0,0,8
"9621","-10,-43",0,0,0,8
"9622","-10,-44",0,0,0,8
"9623","-10,-45",0,0,0,8
"9624","-10,-46",0,0,0,8
"9625","-10,-47",0,0,0,8
"9626","-10,-48",0,0,0,8
"9627","-10,-49",0,0,0,8
"9628","-10,-5",0,0,0,8
"9629","-10,-50",0,0,0,8
"9630","-10,-51",0,0,0,8
"9631","-10,-52",0,0,0,8
"9632","-10,-53",0,0,0,8
"9633","-10,-54",0,0,0,8
"9634","-10,-55",0,0,0,8
"9635","-10,-56",0,0,0,8
"9636","-10,-58",0,0,0,8
"9637","-10,-59",0,0,0,8
"9638","-10,-6",0,0,0,8
"9639","-10,-60",0,0,0,8
"9640","-10,-61",0,0,0,8
"9641","-10,-62",0,0,0,8
"9642","-10,-63",0,0,0,8
"9643","-10,-64",0,0,0,8
"9644","-10,-65",0,0,0,8
"9645","-10,-66",0,0,0,8
"9646","-10,-67",0,0,0,8
"9647","-10,-68",0,0,0,8
"9648","-10,-69",0,0,0,8
"9649","-10,-7",0,0,0,8
"9650","-10,-79",0,0,0,8
"9651","-10,-8",0,0,0,8
"9652","-10,-81",0,0,0,8
"9653","-10,-82",0,0,0,8
"9654","-10,-83",0,0,0,8
"9655","-10,-84",0,0,0,8
"9656","-10,-85",0,0,0,8
"9657","-10,-86",0,0,0,8
"9658","-10,-87",0,0,0,8
"9659","-10,-88",0,0,0,8
"9660","-10,-89",0,0,0,8
"9661","-10,-9",0,0,0,8
"9662","-10,-90",0,0,0,8
"9663","-10,-91",0,0,0,8
"9664","-10,-92",0,0,0,8
"9665","-10,-93",0,0,0,8
"9666","-10,-94",0,0,0,8
"9667","-10,-95",0,0,0,8
"9668","-10,-96",0,0,0,8
"9669","-10,-97",0,0,0,8
"9670","-10,-98",0,0,0,8
"9671","-10,-99",0,0,0,8
"9672","-10,0",0,0,0,8
"9673","-10,1",0,0,0,8
"9674","-10,10",0,0,0,8
"9675","-10,100",0,0,0,8
"9676","-10,101",0,0,0,8
"9677","-10,103",0,0,0,8
"9678","-10,11",0,0,0,8
"9679","-10,12",0,0,0,8
"9680","-10,127",0,0,0,8
"9681","-10,128",0,0,0,8
"9682","-10,129",0,0,0,8
"9683","-10,13",0,0,0,8
"9684","-10,130",0,0,0,8
"9685","-10,131",0,0,0,8
"9686","-10,132",0,0,0,8
"9687","-10,133",0,0,0,8
"9688","-10,134",0,0,0,8
"9689","-10,135",0,0,0,8
"9690","-10,136",0,0,0,8
"9691","-10,137",0,0,0,8
"9692","-10,138",0,0,0,8
"9693","-10,139",0,0,0,8
"9694","-10,14",0,0,0,8
"9695","-10,140",0,0,0,8
"9696","-10,141",0,0,0,8
"9697","-10,142",0,0,0,8
"9698","-10,143",0,0,0,8
"9699","-10,144",0,0,0,8
"9700","-10,145",0,0,0,8
"9701","-10,146",0,0,0,8
"9702","-10,147",0,0,0,8
"9703","-10,148",0,0,0,8
"9704","-10,149",0,0,0,8
"9705","-10,15",0,0,0,8
"9706","-10,150",0,0,0,8
"9707","-10,153",0,0,0,8
"9708","-10,154",0,0,0,8
"9709","-10,155",0,0,0,8
"9710","-10,156",0,0,0,8
"9711","-10,157",0,0,0,8
"9712","-10,158",0,0,0,8
"9713","-10,16",0,0,0,8
"9714","-10,168",0,0,0,8
"9715","-10,169",0,0,0,8
"9716","-10,17",0,0,0,8
"9717","-10,170",0,0,0,8
"9718","-10,171",0,0,0,8
"9719","-10,172",0,0,0,8
"9720","-10,173",0,0,0,8
"9721","-10,174",0,0,0,8
"9722","-10,175",0,0,0,8
"9723","-10,176",0,0,0,8
"9724","-10,177",0,0,0,8
"9725","-10,178",0,0,0,8
"9726","-10,179",0,0,0,8
"9727","-10,18",0,0,0,8
"9728","-10,19",0,0,0,8
"9729","-10,2",0,0,0,8
"9730","-10,20",0,0,0,8
"9731","-10,21",0,0,0,8
"9732","-10,22",0,0,0,8
"9733","-10,24",0,0,0,8
"9734","-10,25",0,0,0,8
"9735","-10,26",0,0,0,8
"9736","-10,27",0,0,0,8
"9737","-10,28",0,0,0,8
"9738","-10,3",0,0,0,8
"9739","-10,30",0,0,0,8
"9740","-10,31",0,0,0,8
"9741","-10,32",0,0,0,8
"9742","-10,35",0,0,0,8
"9743","-10,36",0,0,0,8
"9744","-10,37",0,0,0,8
"9745","-10,38",0,0,0,8
"9746","-10,39",0,0,0,8
"9747","-10,4",0,0,0,8
"9748","-10,40",0,0,0,8
"9749","-10,44",0,0,0,8
"9750","-10,45",0,0,0,8
"9751","-10,46",0,0,0,8
"9752","-10,47",0,0,0,8
"9753","-10,48",0,0,0,8
"9754","-10,49",0,0,0,8
"9755","-10,5",0,0,0,8
"9756","-10,50",0,0,0,8
"9757","-10,51",0,0,0,8
"9758","-10,52",0,0,0,8
"9759","-10,53",0,0,0,8
"9760","-10,54",0,0,0,8
"9761","-10,55",0,0,0,8
"9762","-10,56",0,0,0,8
"9763","-10,57",0,0,0,8
"9764","-10,58",0,0,0,8
"9765","-10,59",0,0,0,8
"9766","-10,6",0,0,0,8
"9767","-10,60",0,0,0,8
"9768","-10,61",0,0,0,8
"9769","-10,62",0,0,0,8
"9770","-10,63",0,0,0,8
"9771","-10,64",0,0,0,8
"9772","-10,65",0,0,0,8
"9773","-10,67",0,0,0,8
"9774","-10,68",0,0,0,8
"9775","-10,7",0,0,0,8
"9776","-10,70",0,0,0,8
"9777","-10,71",0,0,0,8
"9778","-10,72",0,0,0,8
"9779","-10,73",0,0,0,8
"9780","-10,74",0,0,0,8
"9781","-10,75",0,0,0,8
"9782","-10,76",0,0,0,8
"9783","-10,77",0,0,0,8
"9784","-10,78",0,0,0,8
"9785","-10,79",0,0,0,8
"9786","-10,8",0,0,0,8
"9787","-10,80",0,0,0,8
"9788","-10,81",0,0,0,8
"9789","-10,82",0,0,0,8
"9790","-10,83",0,0,0,8
"9791","-10,84",0,0,0,8
"9792","-10,85",0,0,0,8
"9793","-10,86",0,0,0,8
"9794","-10,88",0,0,0,8
"9795","-10,89",0,0,0,8
"9796","-10,9",0,0,0,8
"9797","-10,90",0,0,0,8
"9798","-10,92",0,0,0,8
"9799","-10,93",0,0,0,8
"9800","-10,94",0,0,0,8
"9801","-10,95",0,0,0,8
"9802","-10,96",0,0,0,8
"9803","-10,97",0,0,0,8
"9804","-10,98",0,0,0,8
"9805","-10,99",0,0,0,8
"9806","-11,-0",0,0,0,8
"9807","-11,-1",0,0,0,8
"9808","-11,-10",0,0,0,8
"9809","-11,-100",0,0,0,8
"9810","-11,-101",0,0,0,8
"9811","-11,-102",0,0,0,8
"9812","-11,-103",0,0,0,8
"9813","-11,-104",0,0,0,8
"9814","-11,-105",0,0,0,8
"9815","-11,-106",0,0,0,8
"9816","-11,-107",0,0,0,8
"9817","-11,-108",0,0,0,8
"9818","-11,-109",0,0,0,8
"9819","-11,-11",0,0,0,8
"9820","-11,-110",0,0,0,8
"9821","-11,-111",0,0,0,8
"9822","-11,-113",0,0,0,8
"9823","-11,-114",0,0,0,8
"9824","-11,-115",0,0,0,8
"9825","-11,-116",0,0,0,8
"9826","-11,-117",0,0,0,8
"9827","-11,-118",0,0,0,8
"9828","-11,-119",0,0,0,8
"9829","-11,-120",0,0,0,8
"9830","-11,-121",0,0,0,8
"9831","-11,-122",0,0,0,8
"9832","-11,-123",0,0,0,8
"9833","-11,-124",0,0,0,8
"9834","-11,-125",0,0,0,8
"9835","-11,-126",0,0,0,8
"9836","-11,-127",0,0,0,8
"9837","-11,-128",0,0,0,8
"9838","-11,-129",0,0,0,8
"9839","-11,-130",0,0,0,8
"9840","-11,-131",0,0,0,8
"9841","-11,-132",0,0,0,8
"9842","-11,-133",0,0,0,8
"9843","-11,-134",0,0,0,8
"9844","-11,-135",0,0,0,8
"9845","-11,-136",0,0,0,8
"9846","-11,-137",0,0,0,8
"9847","-11,-138",0,0,0,8
"9848","-11,-139",0,0,0,8
"9849","-11,-140",0,0,0,8
"9850","-11,-141",0,0,0,8
"9851","-11,-142",0,0,0,8
"9852","-11,-143",0,0,0,8
"9853","-11,-144",0,0,0,8
"9854","-11,-145",0,0,0,8
"9855","-11,-146",0,0,0,8
"9856","-11,-147",0,0,0,8
"9857","-11,-148",0,0,0,8
"9858","-11,-149",0,0,0,8
"9859","-11,-15",0,0,0,8
"9860","-11,-150",0,0,0,8
"9861","-11,-151",0,0,0,8
"9862","-11,-152",0,0,0,8
"9863","-11,-153",0,0,0,8
"9864","-11,-154",0,0,0,8
"9865","-11,-155",0,0,0,8
"9866","-11,-156",0,0,0,8
"9867","-11,-157",0,0,0,8
"9868","-11,-158",0,0,0,8
"9869","-11,-159",0,0,0,8
"9870","-11,-16",0,0,0,8
"9871","-11,-160",0,0,0,8
